Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,17157845A,https://www.brilliantearth.com/1.11-Ct.-Fancy-Vivid-Yellow-Cushion-Lab-Grown-Diamond-17157845A/,1590,Cushion,1.11,yellow,,VVS2,,Lab Grown
Brilliant Earth,17943516A,https://www.brilliantearth.com/0.35-Ct.-Fancy-Intense-Pink-Emerald-Lab-Grown-Diamond-17943516A/,450,Emerald,0.35,pink,,VS2,,Lab Grown
Brilliant Earth,17865035Y,https://www.brilliantearth.com/0.71-Ct.-Fancy-Intense-Yellow-Oval-Diamond-17865035Y/,3430,Oval,0.71,yellow,,VS1,,Lab Grown
Brilliant Earth,17944543A,https://www.brilliantearth.com/0.53-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17944543A/,720,Pear,0.53,pink,,VS2,,Lab Grown
Brilliant Earth,18290430A,https://www.brilliantearth.com/1.08-Ct.-Fancy-Vivid-Pink-Oval-Lab-Grown-Diamond-18290430A/,1870,Oval,1.08,pink,,VVS2,,Lab Grown
Brilliant Earth,14692683A,https://www.brilliantearth.com/1.37-Ct.-Fancy-Intense-Yellow-Pear-Lab-Grown-Diamond-14692683A/,1890,Pear,1.37,yellow,,VS1,,Lab Grown
Brilliant Earth,17364041A,https://www.brilliantearth.com/1.01-Ct.-Fancy-Intense-Blue-Round-Lab-Grown-Diamond-17364041A/,1080,Round,1.01,blue,,VS1,,Lab Grown
Brilliant Earth,17945419A,https://www.brilliantearth.com/2.01-Ct.-Fancy-Vivid-Blue-Oval-Lab-Grown-Diamond-17945419A/,2360,Oval,2.01,blue,,VS2,,Lab Grown
Brilliant Earth,17939206A,https://www.brilliantearth.com/0.40-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17939206A/,520,Pear,0.4,pink,,VS2,,Lab Grown
Brilliant Earth,17939508A,https://www.brilliantearth.com/2.00-Ct.-Fancy-Intense-Pink-Cushion-Lab-Grown-Diamond-17939508A/,3880,Cushion,2,pink,,VS1,,Lab Grown
